Starting net.minecraft.server.Main
[01:58:21] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:58:25] [ServerMain/INFO]: Reloading ResourceManager: Default
[01:58:29] [Worker-Main-6/INFO]: Loaded 7 recipes
[01:58:32] [Worker-Main-6/INFO]: Loaded 1141 advancements
[01:58:42] [Server thread/INFO]: Starting minecraft server version 1.18
[01:58:42] [Server thread/INFO]: Loading properties
[01:58:42] [Server thread/INFO]: Default game type: SURVIVAL
[01:58:42] [Server thread/INFO]: Generating keypair
[01:58:42] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: Bad file descriptor
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:276) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:270) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:313) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:177) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:162) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:329) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:396) ~[?:?]
	at acj$1.run(SourceFile:101) [server-1.18.jar:?]
[01:58:43] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:58:43] [Server thread/INFO]: Using epoll channel type
[01:58:44] [Server thread/INFO]: Preparing level "world"
[01:59:11] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[01:59:12] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[01:59:12] [Worker-Main-6/INFO]: Preparing spawn area: 10%
[01:59:13] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[01:59:13] [Worker-Main-5/INFO]: Preparing spawn area: 11%
[01:59:14] [Worker-Main-4/INFO]: Preparing spawn area: 12%
[01:59:14] [Worker-Main-4/INFO]: Preparing spawn area: 13%
[01:59:15] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[01:59:15] [Worker-Main-5/INFO]: Preparing spawn area: 17%
[01:59:16] [Worker-Main-6/INFO]: Preparing spawn area: 20%
[01:59:16] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[01:59:17] [Worker-Main-4/INFO]: Preparing spawn area: 23%
[01:59:17] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[01:59:18] [Worker-Main-6/INFO]: Preparing spawn area: 26%
[01:59:18] [Worker-Main-5/INFO]: Preparing spawn area: 27%
[01:59:19] [Worker-Main-6/INFO]: Preparing spawn area: 29%
[01:59:19] [Worker-Main-4/INFO]: Preparing spawn area: 29%
[01:59:20] [Worker-Main-6/INFO]: Preparing spawn area: 29%
[01:59:20] [Worker-Main-4/INFO]: Preparing spawn area: 31%
[01:59:21] [Worker-Main-6/INFO]: Preparing spawn area: 33%
[01:59:21] [Worker-Main-6/INFO]: Preparing spawn area: 34%
[01:59:22] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[01:59:22] [Worker-Main-4/INFO]: Preparing spawn area: 38%
[01:59:23] [Worker-Main-5/INFO]: Preparing spawn area: 42%
[01:59:23] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[01:59:24] [Worker-Main-4/INFO]: Preparing spawn area: 46%
[01:59:24] [Worker-Main-4/INFO]: Preparing spawn area: 53%
[01:59:25] [Worker-Main-5/INFO]: Preparing spawn area: 53%
[01:59:25] [Worker-Main-6/INFO]: Preparing spawn area: 59%
[01:59:26] [Worker-Main-5/INFO]: Preparing spawn area: 64%
[01:59:26] [Worker-Main-6/INFO]: Preparing spawn area: 65%
[01:59:27] [Worker-Main-4/INFO]: Preparing spawn area: 65%
[01:59:27] [Worker-Main-6/INFO]: Preparing spawn area: 65%
[01:59:28] [Worker-Main-4/INFO]: Preparing spawn area: 66%
[01:59:28] [Worker-Main-4/INFO]: Preparing spawn area: 68%
[01:59:29] [Worker-Main-4/INFO]: Preparing spawn area: 70%
[01:59:29] [Worker-Main-5/INFO]: Preparing spawn area: 72%
[01:59:30] [Worker-Main-4/INFO]: Preparing spawn area: 77%
[01:59:30] [Worker-Main-4/INFO]: Preparing spawn area: 82%
[01:59:31] [Worker-Main-6/INFO]: Preparing spawn area: 85%
[01:59:31] [Worker-Main-6/INFO]: Preparing spawn area: 88%
[01:59:32] [Worker-Main-6/INFO]: Preparing spawn area: 92%
[01:59:32] [Worker-Main-5/INFO]: Preparing spawn area: 97%
[01:59:35] [Server thread/INFO]: Time elapsed: 50463 ms
[01:59:35] [Server thread/INFO]: Done (51.082s)! For help, type "help"
[01:59:40] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2677ms or 53 ticks behind
